iter	MultiClass
0	1.09696126
1	1.095140751
2	1.094139098
3	1.092746924
4	1.090836892
5	1.089051864
6	1.088256805
7	1.087004272
8	1.085529365
9	1.084010512
10	1.082296067
11	1.080744388
12	1.079087445
13	1.078421276
14	1.076491805
15	1.075273353
16	1.074369143
17	1.072985339
18	1.071429025
19	1.070547685
20	1.069594145
21	1.068478489
22	1.06718434
23	1.065991279
24	1.0649361
25	1.064011071
26	1.062779505
27	1.061840975
28	1.060506881
29	1.058916918
30	1.057012318
31	1.056056851
32	1.054642934
33	1.053247978
34	1.052446589
35	1.051157739
36	1.049926238
37	1.048424427
38	1.047190963
39	1.046122662
40	1.044462536
41	1.043741358
42	1.04228051
43	1.042035767
44	1.040729725
45	1.039143796
46	1.038406812
47	1.037340004
48	1.035590877
49	1.034698655
50	1.03436235
51	1.03217113
52	1.031680326
53	1.030505146
54	1.028641656
55	1.027838849
56	1.026666118
57	1.024438325
58	1.022973238
59	1.021455255
60	1.020733723
61	1.019386373
62	1.017942777
63	1.017201083
64	1.015244934
65	1.014639839
66	1.013519468
67	1.012663537
68	1.010603657
69	1.009957757
70	1.009338438
71	1.00833682
72	1.007175991
73	1.005332641
74	1.004108334
75	1.00301839
76	1.001701027
77	1.000284655
78	0.9993107184
79	0.9985329677
80	0.997833687
81	0.9967069598
82	0.9956353047
83	0.9948916837
84	0.9934882701
85	0.9927711762
86	0.9921043103
87	0.9909641351
88	0.9900150966
89	0.9889213938
90	0.9879659486
91	0.9870430317
92	0.9852868867
93	0.9840540753
94	0.9827469851
95	0.9819021268
96	0.9810251875
97	0.9801603799
98	0.9793896138
99	0.9776521273
100	0.976464455
101	0.9755142155
102	0.9738079594
103	0.9725616243
104	0.9710800371
105	0.9697503154
106	0.9692555295
107	0.968310213
108	0.9674742523
109	0.9661810411
110	0.9656673756
111	0.9647682785
112	0.9642275794
113	0.9634214223
114	0.9625617979
115	0.9620719811
116	0.9612403927
117	0.9598634848
118	0.9591838494
119	0.9582130922
120	0.9572102405
121	0.9564944864
122	0.9550134717
123	0.9543540108
124	0.9540470943
125	0.9525970152
126	0.9517498172
127	0.9510279324
128	0.9495417414
129	0.9486093888
130	0.9476339472
131	0.9462955685
132	0.9453427765
133	0.9443397906
134	0.9428585389
135	0.9420097205
136	0.941251142
137	0.9408500797
138	0.9395848533
139	0.9384754417
140	0.937761848
141	0.9371317497
142	0.9359443556
143	0.9352264225
144	0.9341929617
145	0.9337152878
146	0.9321926568
147	0.931555795
148	0.9305218535
149	0.9296508065
150	0.9288693577
151	0.927914613
152	0.9276269222
153	0.9272450139
154	0.9264909937
155	0.9259331667
156	0.9250430913
157	0.9244981438
158	0.9230225186
159	0.9226177176
160	0.9217272791
161	0.9206179891
162	0.9195208133
163	0.918735327
164	0.9175736698
165	0.9168875353
166	0.9159969933
167	0.9151789968
168	0.914225149
169	0.9137037429
170	0.9128014483
171	0.9113740694
172	0.9108054406
173	0.910307868
174	0.909556671
175	0.9091695567
176	0.90860866
177	0.9073848137
178	0.9065310417
179	0.9060031047
180	0.9056367315
181	0.9041266594
182	0.9027652931
183	0.9019529426
184	0.9008471442
185	0.9002181342
186	0.8991145919
187	0.8985210352
188	0.8971972833
189	0.896361546
190	0.8956500144
191	0.8948333483
192	0.8936792471
193	0.8924185783
194	0.8916667814
195	0.8907608519
196	0.8897251082
197	0.8889952049
198	0.8883405412
199	0.8877651268
200	0.8868114587
201	0.886130885
202	0.8857848879
203	0.8849118417
204	0.8838712189
205	0.8834540938
206	0.8830708053
207	0.8825285906
208	0.8820794986
209	0.881219509
210	0.8805652886
211	0.8799530745
212	0.879247499
213	0.8783695908
214	0.8774112232
215	0.8771184975
216	0.8764072182
217	0.8757398492
218	0.874831964
219	0.8740695205
