iter	Passed	Remaining
0	26	26000
1	43	21877
2	59	19907
3	75	18756
4	89	17849
5	103	17208
6	117	16720
7	133	16525
8	148	16363
9	163	16146
10	176	15824
11	191	15757
12	203	15481
13	217	15337
14	232	15299
15	246	15189
16	261	15146
17	277	15133
18	302	15612
19	317	15556
20	331	15461
21	344	15317
22	360	15333
23	375	15276
24	389	15203
25	405	15194
26	420	15162
27	435	15127
28	451	15104
29	466	15086
30	482	15067
31	496	15009
32	510	14945
33	525	14936
34	540	14893
35	555	14885
36	570	14861
37	585	14815
38	601	14811
39	614	14745
40	628	14702
41	643	14680
42	659	14678
43	673	14630
44	687	14589
45	702	14576
46	715	14517
47	729	14467
48	744	14450
49	760	14446
50	773	14393
51	789	14388
52	802	14332
53	818	14335
54	834	14339
55	849	14321
56	865	14325
57	880	14294
58	893	14249
59	907	14222
60	928	14294
61	942	14257
62	955	14211
63	970	14199
64	998	14359
65	1013	14348
66	1028	14326
67	1044	14310
68	1060	14309
69	1074	14278
70	1088	14241
71	1101	14200
72	1114	14157
73	1130	14142
74	1144	14119
75	1161	14118
76	1176	14107
77	1192	14100
78	1207	14078
79	1221	14044
80	1235	14014
81	1249	13986
82	1263	13964
83	1277	13933
84	1292	13913
85	1306	13881
86	1321	13873
87	1338	13868
88	1353	13851
89	1368	13840
90	1384	13825
91	1401	13828
92	1417	13823
93	1433	13817
94	1448	13800
95	1464	13792
96	1480	13783
97	1495	13766
98	1511	13754
99	1526	13734
100	1540	13715
101	1555	13695
102	1569	13669
103	1586	13665
104	1600	13642
105	1617	13639
106	1630	13610
107	1645	13591
108	1659	13564
109	1674	13545
110	1688	13524
111	1702	13498
112	1717	13482
113	1733	13472
114	1749	13460
115	1762	13429
116	1776	13410
117	1792	13396
118	1808	13385
119	1823	13372
120	1839	13359
121	1852	13334
122	1868	13320
123	1881	13294
124	1896	13273
125	1910	13255
126	1923	13224
127	1938	13208
128	1953	13191
129	1968	13173
130	1983	13158
131	1997	13136
132	2014	13129
133	2028	13110
134	2044	13096
135	2059	13080
136	2072	13057
137	2086	13030
138	2100	13013
139	2114	12989
140	2139	13031
141	2154	13016
142	2168	12998
143	2183	12978
144	2197	12954
145	2211	12933
146	2226	12921
147	2240	12899
148	2255	12881
149	2270	12863
150	2284	12844
151	2298	12823
152	2311	12797
153	2326	12778
154	2342	12768
155	2356	12747
156	2371	12733
157	2387	12722
158	2414	12768
159	2429	12754
160	2445	12743
161	2459	12723
162	2474	12706
163	2488	12685
164	2501	12661
165	2517	12647
166	2531	12627
167	2545	12604
168	2558	12579
169	2573	12562
170	2587	12543
171	2602	12529
172	2616	12506
173	2630	12486
174	2644	12468
175	2657	12443
176	2670	12416
177	2684	12397
178	2698	12378
179	2714	12366
180	2727	12341
181	2742	12325
182	2758	12317
183	2773	12298
184	2788	12285
185	2803	12269
186	2817	12247
187	2831	12231
188	2847	12220
189	2861	12200
190	2875	12179
191	2891	12167
192	2907	12157
193	2923	12145
194	2939	12134
195	2954	12120
196	2970	12106
197	2984	12090
198	3000	12076
199	3015	12062
200	3032	12052
201	3048	12042
202	3063	12028
203	3080	12018
204	3096	12008
205	3111	11991
206	3125	11972
207	3138	11951
208	3153	11935
209	3169	11923
210	3187	11917
211	3202	11903
212	3218	11893
213	3235	11882
214	3251	11872
215	3266	11856
216	3282	11845
217	3297	11830
218	3315	11822
219	3331	11811
220	3346	11797
221	3362	11783
222	3375	11762
223	3391	11747
224	3404	11727
225	3420	11715
226	3435	11698
227	3451	11686
228	3465	11667
229	3480	11653
230	3495	11636
231	3512	11627
232	3527	11610
233	3541	11594
234	3556	11577
235	3569	11557
236	3583	11536
237	3598	11520
238	3611	11498
239	3626	11482
240	3642	11472
241	3659	11460
242	3673	11443
243	3689	11430
244	3703	11412
245	3717	11395
246	3734	11384
247	3750	11373
248	3765	11358
249	3780	11340
250	3795	11326
251	3810	11309
252	3824	11292
253	3838	11274
254	3852	11256
255	3866	11237
256	3880	11220
257	3895	11203
258	3910	11187
259	3924	11169
260	3936	11146
261	3950	11128
262	3963	11106
263	3978	11091
264	3992	11073
265	4005	11053
266	4018	11031
267	4032	11013
268	4047	10999
269	4063	10985
270	4079	10973
271	4093	10956
272	4108	10940
273	4121	10919
274	4134	10900
275	4150	10886
276	4164	10870
277	4177	10849
278	4191	10830
279	4206	10816
280	4220	10800
281	4234	10781
282	4250	10768
283	4264	10751
284	4276	10729
285	4291	10714
286	4306	10699
287	4322	10686
288	4337	10671
289	4353	10658
290	4368	10643
291	4381	10624
292	4395	10605
293	4409	10588
294	4424	10573
295	4440	10560
296	4454	10543
297	4469	10528
298	4484	10513
299	4500	10500
300	4516	10489
301	4534	10479
302	4551	10469
303	4565	10453
304	4582	10442
305	4599	10431
306	4615	10418
307	4630	10403
308	4644	10387
309	4659	10371
310	4673	10353
311	4687	10337
312	4704	10325
313	4720	10312
314	4736	10300
315	4751	10285
316	4767	10270
317	4780	10253
318	4797	10241
319	4813	10228
320	4828	10212
321	4843	10197
322	4858	10183
323	4872	10166
324	4887	10150
325	4901	10134
326	4915	10117
327	4931	10103
328	4945	10085
329	4958	10068
330	4972	10049
331	4986	10033
332	5002	10020
333	5016	10002
334	5030	9985
335	5046	9972
336	5061	9958
337	5075	9941
338	5090	9925
339	5105	9911
340	5120	9896
341	5136	9882
342	5151	9867
343	5167	9854
344	5182	9839
345	5197	9823
346	5213	9810
347	5227	9794
348	5242	9779
349	5258	9766
350	5274	9751
351	5288	9735
352	5304	9722
353	5320	9708
354	5335	9693
355	5349	9678
356	5366	9666
